trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
9900292302,Local365,183,10/3/2015 2:12:30,3291,11th & San Jacinto,1008,Nueces @ 3rd,8
9900292303,Local30,54,10/3/2015 7:12:25,1008,Nueces @ 3rd,1006,Zilker Park West,26
9900292307,Local30,285,10/3/2015 4:12:20,3291,11th & San Jacinto,2823,Capital Metro HQ - East 5th at Broadway,12
9900292319,Local365,191,10/3/2015 12:12:37,2576,Rainey @ River St,1006,Zilker Park West,32
9900292320,Local365,866,10/3/2015 12:12:44,2576,Rainey @ River St,2576,Rainey @ River St,1
9900292347,Local365,306,10/3/2015 20:12:04,1006,Zilker Park West,1006,Zilker Park West,0
9900292363,Local365,735,10/3/2015 12:12:00,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,8
9900292365,Local365,409,10/3/2015 12:12:55,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900292373,Local365,400,10/3/2015 15:12:14,2712,Toomey Rd @ South Lamar,1006,Zilker Park West,7
9900292375,Local365,58,10/3/2015 15:12:47,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900292386,Local365,549,10/3/2015 19:12:18,2712,Toomey Rd @ South Lamar,2568,East 11th St. at Victory Grill,37
9900292388,Local365,320,10/3/2015 20:12:03,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,7
9900292409,Walk Up,275,10/4/2015 12:12:36,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,36
9900292410,Walk Up,275,10/4/2015 11:12:19,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,26
9900292446,Walk Up,869,10/4/2015 14:12:14,2576,Rainey @ River St,1006,Zilker Park West,20
9900292464,Walk Up,576,10/4/2015 0:12:39,1008,Nueces @ 3rd,2576,Rainey @ River St,13
9900292500,Walk Up,578,10/4/2015 11:12:01,2536,Waller & 6th St.,2536,Waller & 6th St.,1
9900292501,Walk Up,252,10/4/2015 12:12:34,1007,Lavaca & 6th,2536,Waller & 6th St.,48
9900292503,Walk Up,164,10/4/2015 11:12:59,2536,Waller & 6th St.,2536,Waller & 6th St.,23
9900292568,Walk Up,421,10/4/2015 13:12:29,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900292648,Walk Up,64,10/4/2015 16:12:04,1008,Nueces @ 3rd,1006,Zilker Park West,12
9900292685,Walk Up,439,10/4/2015 16:12:18,2576,Rainey @ River St,2576,Rainey @ River St,88
9900292708,Walk Up,153,10/4/2015 20:12:08,1006,Zilker Park West,2576,Rainey @ River St,18
9900292714,Walk Up,572,10/4/2015 21:12:05,1006,Zilker Park West,1006,Zilker Park West,0
9900292715,Walk Up,434,10/4/2015 21:12:00,1006,Zilker Park West,1006,Zilker Park West,0
9900292723,Walk Up,362,10/4/2015 21:12:46,1006,Zilker Park West,1008,Nueces @ 3rd,25
9900292725,Walk Up,164,10/4/2015 21:12:59,1006,Zilker Park West,1008,Nueces @ 3rd,21
9900292743,Walk Up,589,10/4/2015 1:12:22,1006,Zilker Park West,1006,Zilker Park West,1
9900292751,Walk Up,409,10/4/2015 9:12:46,1007,Lavaca & 6th,1007,Lavaca & 6th,0
9900292781,Walk Up,544,10/4/2015 12:12:10,1007,Lavaca & 6th,2536,Waller & 6th St.,49
9900292808,Explorer,439,10/4/2015 14:12:27,2536,Waller & 6th St.,1006,Zilker Park West,35
9900292812,Explorer,29,10/4/2015 14:12:36,2576,Rainey @ River St,2712,Toomey Rd @ South Lamar,31
9900292854,Walk Up,855,10/4/2015 18:12:28,1006,Zilker Park West,1006,Zilker Park West,11
9900292856,Walk Up,416,10/4/2015 18:12:18,1008,Nueces @ 3rd,1006,Zilker Park West,15
9900292857,Walk Up,919,10/4/2015 19:12:01,1006,Zilker Park West,1008,Nueces @ 3rd,11
9900292884,Walk Up,200,10/4/2015 21:12:13,1006,Zilker Park West,1008,Nueces @ 3rd,21
9900292909,Walk Up,882,10/4/2015 10:12:50,2568,East 11th St. at Victory Grill,2536,Waller & 6th St.,8
9900292926,Walk Up,164,10/4/2015 12:12:21,2536,Waller & 6th St.,1007,Lavaca & 6th,0
9900293010,Walk Up,152,10/4/2015 16:12:52,2576,Rainey @ River St,2576,Rainey @ River St,87
9900293024,Walk Up,922,10/4/2015 18:12:16,1006,Zilker Park West,1006,Zilker Park West,11
9900293040,Walk Up,58,10/4/2015 21:12:52,1006,Zilker Park West,1008,Nueces @ 3rd,19
9900293149,Walk Up,371,10/4/2015 15:12:17,2546,ACC - West & 12th Street,2546,ACC - West & 12th Street,17
9900293168,Walk Up,301,10/4/2015 16:12:05,2576,Rainey @ River St,2576,Rainey @ River St,87
9900293171,Walk Up,281,10/4/2015 17:12:18,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
